father,mother,midparentHeight,children,childHeight
75.5,66.5,73.66,4.0,73.5
75.5,66.5,73.66,4.0,72.5
75.5,66.5,73.66,4.0,65.5
75.5,66.5,73.66,4.0,65.5
75.0,64.0,72.06,2.0,71.0
75.0,64.0,72.06,2.0,68.0
75.0,64.0,72.06,5.0,70.5
75.0,64.0,72.06,5.0,68.5
75.0,64.0,72.06,5.0,67.0
75.0,64.0,72.06,5.0,64.5
75.0,64.0,72.06,5.0,63.0
74.0,66.5,72.91,3.0,70.5
74.0,66.5,72.91,3.0,68.0
74.0,66.5,72.91,3.0,66.0
74.5,66.0,72.89,1.0,66.0
74.0,65.5,72.37,1.0,65.5
74.0,62.0,70.48,8.0,74.0
74.0,62.0,70.48,8.0,70.0
74.0,62.0,70.48,8.0,68.0
74.0,62.0,70.48,8.0,67.0
74.0,62.0,70.48,8.0,67.0
74.0,62.0,70.48,8.0,66.0
74.0,62.0,70.48,8.0,63.5
74.0,62.0,70.48,8.0,63.0
74.0,61.0,69.94,1.0,65.0
73.0,67.0,72.68,2.0,71.0
73.0,67.0,72.68,2.0,62.0
73.0,67.0,72.68,2.0,68.0
73.0,67.0,72.68,2.0,67.0
73.0,66.5,72.41,3.0,71.0
73.0,66.5,72.41,3.0,70.5
73.0,66.5,72.41,3.0,66.7
73.0,65.0,71.6,9.0,72.0
73.0,65.0,71.6,9.0,70.5
73.0,65.0,71.6,9.0,70.2
73.0,65.0,71.6,9.0,70.2
73.0,65.0,71.6,9.0,69.2
73.0,65.0,71.6,9.0,68.7
73.0,65.0,71.6,9.0,66.5
73.0,65.0,71.6,9.0,64.5
73.0,65.0,71.6,9.0,63.5
73.0,64.5,71.33000000000001,6.0,74.0
73.0,64.5,71.33000000000001,6.0,73.0
73.0,64.5,71.33000000000001,6.0,71.5
73.0,64.5,71.33000000000001,6.0,62.5
73.0,64.5,71.33000000000001,6.0,66.5
73.0,64.5,71.33000000000001,6.0,62.3
73.0,64.0,71.06,3.0,66.0
73.0,64.0,71.06,3.0,64.5
73.0,64.0,71.06,3.0,64.0
73.2,63.0,70.62,1.0,62.7
72.0,68.0,72.72,3.0,73.0
72.0,68.0,72.72,3.0,68.5
72.0,68.0,72.72,3.0,68.0
72.0,67.0,72.18,3.0,73.0
72.0,67.0,72.18,3.0,71.0
72.0,67.0,72.18,3.0,67.0
72.0,65.0,71.1,7.0,74.2
72.0,65.0,71.1,7.0,70.5
72.0,65.0,71.1,7.0,69.5
72.0,65.0,71.1,7.0,66.0
72.0,65.0,71.1,7.0,65.5
72.0,65.0,71.1,7.0,65.0
72.0,65.0,71.1,7.0,65.0
72.0,65.5,71.37,1.0,65.5
72.0,64.0,70.56,2.0,66.0
72.0,64.0,70.56,2.0,63.0
72.0,63.0,70.02000000000001,5.0,70.5
72.0,63.0,70.02000000000001,5.0,70.5
72.0,63.0,70.02000000000001,5.0,69.0
72.0,63.0,70.02000000000001,5.0,65.0
72.0,63.0,70.02000000000001,5.0,63.0
72.0,63.0,70.02000000000001,3.0,69.0
72.0,63.0,70.02000000000001,3.0,67.0
72.0,63.0,70.02000000000001,3.0,63.0
72.0,63.0,70.02000000000001,6.0,73.0
72.0,63.0,70.02000000000001,6.0,67.0
72.0,63.0,70.02000000000001,6.0,70.5
72.0,63.0,70.02000000000001,6.0,70.0
72.0,63.0,70.02000000000001,6.0,66.5
72.0,63.0,70.02000000000001,6.0,63.0
72.5,63.5,70.53999999999999,3.0,67.5
72.5,63.5,70.53999999999999,3.0,67.2
72.5,63.5,70.53999999999999,3.0,66.7
72.0,62.0,69.48,1.0,64.0
72.5,62.0,69.73,6.0,71.0
72.5,62.0,69.73,6.0,70.0
72.5,62.0,69.73,6.0,70.0
72.5,62.0,69.73,6.0,66.0
72.5,62.0,69.73,6.0,65.0
72.5,62.0,69.73,6.0,65.0
72.0,62.0,69.48,5.0,74.0
72.0,62.0,69.48,5.0,72.0
72.0,62.0,69.48,5.0,69.0
72.0,62.0,69.48,5.0,67.5
72.0,62.0,69.48,5.0,63.5
72.0,62.0,69.48,5.0,72.0
72.0,62.0,69.48,5.0,71.5
72.0,62.0,69.48,5.0,71.5
72.0,62.0,69.48,5.0,70.0
72.0,62.0,69.48,5.0,68.0
72.0,61.0,68.94,1.0,65.7
71.0,69.0,72.76,5.0,78.0
71.0,69.0,72.76,5.0,74.0
71.0,69.0,72.76,5.0,73.0
71.0,69.0,72.76,5.0,72.0
71.0,69.0,72.76,5.0,67.0
71.0,67.0,71.68,4.0,73.2
71.0,67.0,71.68,4.0,73.0
71.0,67.0,71.68,4.0,69.0
71.0,67.0,71.68,4.0,67.0
71.0,66.0,71.14,4.0,70.0
71.0,66.0,71.14,4.0,67.0
71.0,66.0,71.14,4.0,67.0
71.0,66.0,71.14,4.0,66.5
71.0,66.0,71.14,6.0,70.0
71.0,66.0,71.14,6.0,69.0
71.0,66.0,71.14,6.0,68.5
71.0,66.0,71.14,6.0,66.0
71.0,66.0,71.14,6.0,64.5
71.0,66.0,71.14,6.0,63.0
71.0,66.0,71.14,2.0,71.0
71.0,66.0,71.14,2.0,67.0
71.0,66.0,71.14,5.0,76.0
71.0,66.0,71.14,5.0,72.0
71.0,66.0,71.14,5.0,71.0
71.0,66.0,71.14,5.0,66.0
71.0,66.0,71.14,5.0,66.0
71.7,65.5,71.22,1.0,70.5
71.0,65.5,70.87,6.0,72.0
71.0,65.5,70.87,6.0,72.0
71.0,65.5,70.87,6.0,71.0
71.0,65.5,70.87,6.0,69.0
71.0,65.5,70.87,6.0,66.0
71.0,65.5,70.87,6.0,65.0
71.5,65.5,71.12,2.0,73.0
71.5,65.5,71.12,2.0,65.2
71.5,65.0,70.85,2.0,68.5
71.5,65.0,70.85,2.0,67.7
71.0,65.0,70.6,3.0,68.0
71.0,65.0,70.6,3.0,68.0
71.0,65.0,70.6,3.0,62.0
71.0,64.0,70.06,8.0,68.0
71.0,64.0,70.06,8.0,68.0
71.0,64.0,70.06,8.0,67.5
71.0,64.0,70.06,8.0,66.5
71.0,64.0,70.06,8.0,66.5
71.0,64.0,70.06,8.0,66.0
71.0,64.0,70.06,8.0,65.5
71.0,64.0,70.06,8.0,65.0
71.7,64.5,70.68,4.0,72.0
71.7,64.5,70.68,4.0,71.0
71.7,64.5,70.68,4.0,70.5
71.7,64.5,70.68,4.0,67.0
71.0,64.0,70.06,3.0,68.0
71.0,64.0,70.06,3.0,68.0
71.0,64.0,70.06,3.0,68.0
71.5,64.5,70.58000000000001,7.0,72.0
71.5,64.5,70.58000000000001,7.0,71.0
71.5,64.5,70.58000000000001,7.0,70.0
71.5,64.5,70.58000000000001,7.0,66.0
71.5,64.5,70.58000000000001,7.0,64.5
71.5,64.5,70.58000000000001,7.0,64.5
71.5,64.5,70.58000000000001,7.0,62.0
71.0,64.5,70.33000000000001,2.0,73.0
71.0,64.5,70.33000000000001,2.0,62.0
71.2,63.0,69.62,2.0,67.5
71.2,63.0,69.62,2.0,64.5
71.0,63.5,69.78999999999999,5.0,71.0
71.0,63.5,69.78999999999999,5.0,67.0
71.0,63.5,69.78999999999999,5.0,66.0
71.0,63.5,69.78999999999999,5.0,65.0
71.0,63.5,69.78999999999999,5.0,63.5
71.0,63.0,69.52000000000001,9.0,71.0
71.0,63.0,69.52000000000001,9.0,70.0
71.0,63.0,69.52000000000001,9.0,70.0
71.0,63.0,69.52000000000001,9.0,64.0
71.0,63.0,69.52000000000001,9.0,65.0
71.0,63.0,69.52000000000001,9.0,65.0
71.0,63.0,69.52000000000001,9.0,64.0
71.0,63.0,69.52000000000001,9.0,63.0
71.0,63.0,69.52000000000001,9.0,63.0
71.0,63.0,69.52000000000001,4.0,71.0
71.0,63.0,69.52000000000001,4.0,71.0
71.0,63.0,69.52000000000001,4.0,70.0
71.0,63.0,69.52000000000001,4.0,63.5
71.0,62.0,68.98,5.0,71.0
71.0,62.0,68.98,5.0,70.0
71.0,62.0,68.98,5.0,64.5
71.0,62.0,68.98,5.0,62.5
71.0,62.0,68.98,5.0,61.5
71.0,62.0,68.98,5.0,72.0
71.0,62.0,68.98,5.0,70.5
71.0,62.0,68.98,5.0,70.5
71.0,62.0,68.98,5.0,64.5
71.0,62.0,68.98,5.0,60.0
71.0,62.5,69.25,5.0,70.0
71.0,62.5,69.25,5.0,64.0
71.0,62.5,69.25,5.0,64.0
71.0,62.5,69.25,5.0,64.0
71.0,62.5,69.25,5.0,62.5
71.0,62.0,68.98,7.0,70.5
71.0,62.0,68.98,7.0,70.0
71.0,62.0,68.98,7.0,69.0
71.0,62.0,68.98,7.0,69.0
71.0,62.0,68.98,7.0,66.0
71.0,62.0,68.98,7.0,64.5
71.0,62.0,68.98,7.0,64.0
71.0,61.0,68.44,1.0,62.0
71.0,58.0,66.82,2.0,71.5
71.0,58.0,66.82,2.0,69.0
70.0,69.0,72.26,4.0,71.0
70.0,69.0,72.26,4.0,70.0
70.0,69.0,72.26,4.0,69.0
70.0,69.0,72.26,4.0,69.0
70.0,69.0,72.26,6.0,70.0
70.0,69.0,72.26,6.0,68.7
70.0,69.0,72.26,6.0,68.0
70.0,69.0,72.26,6.0,66.0
70.0,69.0,72.26,6.0,64.0
70.0,69.0,72.26,6.0,62.0
70.0,68.0,71.72,1.0,75.0
70.0,67.0,71.18,5.0,70.0
70.0,67.0,71.18,5.0,69.0
70.0,67.0,71.18,5.0,66.0
70.0,67.0,71.18,5.0,64.0
70.0,67.0,71.18,5.0,60.0
70.0,67.0,71.18,1.0,67.5
70.0,66.5,70.91,11.0,73.0
70.0,66.5,70.91,11.0,72.0
70.0,66.5,70.91,11.0,72.0
70.0,66.5,70.91,11.0,66.5
70.0,66.5,70.91,11.0,69.2
70.0,66.5,70.91,11.0,67.2
70.0,66.5,70.91,11.0,66.5
70.0,66.5,70.91,11.0,66.0
70.0,66.5,70.91,11.0,66.0
70.0,66.5,70.91,11.0,64.2
70.0,66.5,70.91,11.0,63.7
70.5,65.0,70.35,4.0,72.0
70.5,65.0,70.35,4.0,70.2
70.5,65.0,70.35,4.0,69.0
70.5,65.0,70.35,4.0,68.5
70.5,65.0,70.35,5.0,68.0
70.5,65.0,70.35,5.0,65.0
70.5,65.0,70.35,5.0,61.5
70.5,65.0,70.35,5.0,61.0
70.5,65.0,70.35,5.0,61.0
70.0,65.0,70.1,8.0,73.0
70.0,65.0,70.1,8.0,72.0
70.0,65.0,70.1,8.0,70.5
70.0,65.0,70.1,8.0,65.0
70.0,65.0,70.1,8.0,65.0
70.0,65.0,70.1,8.0,64.5
70.0,65.0,70.1,8.0,63.0
70.0,65.0,70.1,8.0,62.0
70.0,65.0,70.1,5.0,67.0
70.0,65.0,70.1,5.0,65.0
70.0,65.0,70.1,5.0,64.5
70.0,65.0,70.1,5.0,62.5
70.0,65.0,70.1,5.0,62.5
70.0,65.0,70.1,6.0,70.0
70.0,65.0,70.1,6.0,70.0
70.0,65.0,70.1,6.0,67.0
70.0,65.0,70.1,6.0,65.0
70.0,65.0,70.1,6.0,65.0
70.0,65.0,70.1,6.0,63.0
70.0,65.0,70.1,7.0,79.0
70.0,65.0,70.1,7.0,75.0
70.0,65.0,70.1,7.0,71.0
70.0,65.0,70.1,7.0,69.0
70.0,65.0,70.1,7.0,67.0
70.0,65.0,70.1,7.0,65.7
70.0,65.0,70.1,7.0,62.0
70.0,65.0,70.1,3.0,73.0
70.0,65.0,70.1,3.0,72.5
70.0,65.0,70.1,3.0,65.0
70.0,65.0,70.1,2.0,69.0
70.0,65.0,70.1,2.0,69.0
70.0,64.7,69.938,7.0,72.0
70.0,64.7,69.938,7.0,70.0
70.0,64.7,69.938,7.0,68.7
70.0,64.7,69.938,7.0,66.5
70.0,64.7,69.938,7.0,65.5
70.0,64.7,69.938,7.0,64.7
70.0,64.7,69.938,7.0,64.5
70.0,64.0,69.56,7.0,70.7
70.0,64.0,69.56,7.0,70.0
70.0,64.0,69.56,7.0,68.0
70.0,64.0,69.56,7.0,67.0
70.0,64.0,69.56,7.0,66.0
70.0,64.0,69.56,7.0,65.0
70.0,64.0,69.56,7.0,67.0
70.0,64.0,69.56,4.0,70.0
70.0,64.0,69.56,4.0,68.0
70.0,64.0,69.56,4.0,66.7
70.0,64.0,69.56,4.0,65.5
70.0,64.2,69.668,5.0,72.0
70.0,64.2,69.668,5.0,70.0
70.0,64.2,69.668,5.0,62.5
70.0,64.2,69.668,5.0,61.2
70.0,64.2,69.668,5.0,60.1
70.5,64.0,69.81,8.0,74.0
70.5,64.0,69.81,8.0,69.5
70.5,64.0,69.81,8.0,69.0
70.5,64.0,69.81,8.0,68.0
70.5,64.0,69.81,8.0,68.0
70.5,64.0,69.81,8.0,68.0
70.5,64.0,69.81,8.0,65.5
70.5,64.0,69.81,8.0,65.0
70.5,64.5,70.08000000000001,1.0,60.0
70.0,64.0,69.56,4.0,68.0
70.0,64.0,69.56,4.0,65.0
70.0,64.0,69.56,4.0,64.0
70.0,64.0,69.56,4.0,62.0
70.0,64.0,69.56,9.0,71.0
70.0,64.0,69.56,9.0,70.0
70.0,64.0,69.56,9.0,70.0
70.0,64.0,69.56,9.0,70.0
70.0,64.0,69.56,9.0,69.5
70.0,64.0,69.56,9.0,68.5
70.0,64.0,69.56,9.0,69.0
70.0,64.0,69.56,9.0,65.0
70.0,64.0,69.56,9.0,64.0
70.0,63.7,69.398,8.0,70.0
70.0,63.7,69.398,8.0,67.0
70.0,63.7,69.398,8.0,65.5
70.0,63.7,69.398,8.0,63.7
70.0,63.7,69.398,8.0,63.2
70.0,63.7,69.398,8.0,62.5
70.0,63.7,69.398,8.0,62.2
70.0,63.7,69.398,8.0,61.0
70.5,63.0,69.27000000000001,4.0,70.0
70.5,63.0,69.27000000000001,4.0,68.5
70.5,63.0,69.27000000000001,4.0,65.5
70.5,63.0,69.27000000000001,4.0,63.5
70.5,63.0,69.27000000000001,5.0,72.5
70.5,63.0,69.27000000000001,5.0,69.0
70.5,63.0,69.27000000000001,5.0,67.0
70.5,63.0,69.27000000000001,5.0,64.5
70.5,63.0,69.27000000000001,5.0,64.0
70.0,63.5,69.28999999999999,4.0,71.0
70.0,63.5,69.28999999999999,4.0,67.5
70.0,63.5,69.28999999999999,4.0,67.5
70.0,63.5,69.28999999999999,4.0,63.5
70.0,63.0,69.02000000000001,4.0,68.0
70.0,63.0,69.02000000000001,4.0,67.0
70.0,63.0,69.02000000000001,4.0,63.7
70.0,63.0,69.02000000000001,4.0,62.0
70.0,63.0,69.02000000000001,4.0,70.0
70.0,63.0,69.02000000000001,4.0,66.5
70.0,63.0,69.02000000000001,4.0,62.0
70.0,63.0,69.02000000000001,4.0,61.0
70.5,62.0,68.73,8.0,72.0
70.5,62.0,68.73,8.0,70.0
70.5,62.0,68.73,8.0,69.5
70.5,62.0,68.73,8.0,69.5
70.5,62.0,68.73,8.0,68.0
70.5,62.0,68.73,8.0,65.0
70.5,62.0,68.73,8.0,64.0
70.5,62.0,68.73,8.0,63.0
70.3,62.7,69.00800000000001,7.0,70.7
70.3,62.7,69.00800000000001,7.0,69.7
70.3,62.7,69.00800000000001,7.0,69.2
70.3,62.7,69.00800000000001,7.0,65.2
70.3,62.7,69.00800000000001,7.0,64.0
70.3,62.7,69.00800000000001,7.0,63.5
70.3,62.7,69.00800000000001,7.0,63.2
70.5,62.0,68.73,3.0,72.0
70.5,62.0,68.73,3.0,72.0
70.5,62.0,68.73,3.0,60.0
70.0,61.0,67.94,2.0,71.2
70.0,61.0,67.94,2.0,67.0
70.0,60.0,67.4,4.0,67.0
70.0,60.0,67.4,4.0,64.5
70.0,60.0,67.4,4.0,65.0
70.0,60.0,67.4,4.0,63.0
70.0,60.0,67.4,2.0,65.0
70.0,60.0,67.4,2.0,65.0
70.0,58.5,66.59,3.0,71.5
70.0,58.5,66.59,3.0,64.5
70.0,58.5,66.59,3.0,63.0
70.0,58.0,66.32,5.0,72.0
70.0,58.0,66.32,5.0,66.0
70.0,58.0,66.32,5.0,66.0
70.0,58.0,66.32,5.0,65.0
70.0,58.0,66.32,5.0,63.0
69.0,68.5,71.49000000000001,10.0,75.0
69.0,68.5,71.49000000000001,10.0,71.0
69.0,68.5,71.49000000000001,10.0,70.0
69.0,68.5,71.49000000000001,10.0,66.0
69.0,68.5,71.49000000000001,10.0,66.0
69.0,68.5,71.49000000000001,10.0,65.5
69.0,68.5,71.49000000000001,10.0,65.0
69.0,68.5,71.49000000000001,10.0,65.0
69.0,68.5,71.49000000000001,10.0,64.0
69.0,68.5,71.49000000000001,10.0,64.0
69.0,67.0,70.68,1.0,64.0
69.0,66.0,70.14,8.0,73.0
69.0,66.0,70.14,8.0,72.0
69.0,66.0,70.14,8.0,71.7
69.0,66.0,70.14,8.0,71.5
69.0,66.0,70.14,8.0,65.5
69.0,66.0,70.14,8.0,65.0
69.0,66.0,70.14,8.0,62.7
69.0,66.0,70.14,8.0,62.5
69.0,66.0,70.14,3.0,71.2
69.0,66.0,70.14,3.0,71.0
69.0,66.0,70.14,3.0,70.0
69.0,66.7,70.518,4.0,75.0
69.0,66.7,70.518,4.0,74.0
69.0,66.7,70.518,4.0,72.0
69.0,66.7,70.518,4.0,68.5
69.0,66.0,70.14,6.0,70.0
69.0,66.0,70.14,6.0,68.5
69.0,66.0,70.14,6.0,68.0
69.0,66.0,70.14,6.0,65.0
69.0,66.0,70.14,6.0,63.0
69.0,66.0,70.14,6.0,62.5
69.0,66.5,70.41,7.0,73.0
69.0,66.5,70.41,7.0,71.0
69.0,66.5,70.41,7.0,70.5
69.0,66.5,70.41,7.0,70.5
69.0,66.5,70.41,7.0,67.0
69.0,66.5,70.41,7.0,66.0
69.0,66.5,70.41,7.0,61.0
69.5,66.5,70.66,4.0,70.5
69.5,66.5,70.66,4.0,67.5
69.5,66.5,70.66,4.0,64.5
69.5,66.5,70.66,4.0,64.0
69.0,66.5,70.41,6.0,71.0
69.0,66.5,70.41,6.0,68.5
69.0,66.5,70.41,6.0,67.5
69.0,66.5,70.41,6.0,66.0
69.0,66.5,70.41,6.0,63.0
69.0,66.5,70.41,6.0,63.0
69.5,66.0,70.39,7.0,71.0
69.5,66.0,70.39,7.0,71.0
69.5,66.0,70.39,7.0,70.5
69.5,66.0,70.39,7.0,70.5
69.5,66.0,70.39,7.0,66.5
69.5,66.0,70.39,7.0,65.5
69.5,66.0,70.39,7.0,64.5
69.0,66.0,70.14,9.0,73.0
69.0,66.0,70.14,9.0,72.0
